material_name	formula	class	Curie temperature (K)	DSm_2T	DSm_5T	doi_link
MnPtSn	MnPtSn	half heusler	330			"<a href=""http://dx.doi.org/10.1070/PU1994v037n07ABEH000033"">http://dx.doi.org/10.1070/PU1994v037n07ABEH000033</a>"
VCoSb	VCoSb	half heusler	58			"<a href=""http://dx.doi.org/10.1143/JPSJ.32.91"">http://dx.doi.org/10.1143/JPSJ.32.91</a>"
MnPdSb	MnPdSb	half heusler	500			"<a href=""http://dx.doi.org/10.1143/JPSJ.29.643"">http://dx.doi.org/10.1143/JPSJ.29.643</a>"
TiCoSn	TiCoSn	half heusler	134			"<a href=""http://dx.doi.org/10.1088/0953-8984/7/37/010"">http://dx.doi.org/10.1088/0953-8984/7/37/010</a>"
MnPtGa	MnPtGa	Ni2In-TiNiSi	220			"<a href=""http://dx.doi.org/10.1016/0022-5088(84)90341-2"">http://dx.doi.org/10.1016/0022-5088(84)90341-2</a>"
BaFeO3	BaFeO3	oxide	110			"<a href=""10.1002/anie.201105276"">10.1002/anie.201105276</a>"
Fe2Zr	Fe2Zr	laves	600			"<a href=""http://dx.doi.org/10.1088/0953-8984/19/37/376202"">http://dx.doi.org/10.1088/0953-8984/19/37/376202</a>"
Fe5C2	Fe5C2	close packed	519			"<a href=""http://dx.doi.org/10.1016/0025-5408(86)90135-2"">http://dx.doi.org/10.1016/0025-5408(86)90135-2</a>"
Fe7C3	Fe7C3	close packed	523			"<a href=""http://dx.doi.org/10.1007/BF00550805"">http://dx.doi.org/10.1007/BF00550805</a>"
Co3Sn2S2	Co3Sn2S2	other	177			"<a href=""http://dx.doi.org/10.1007/BF00550805"">http://dx.doi.org/10.1007/BF00550805</a>"
Ni3Al	Ni3Al	close packed	41.5			"<a href=""http://dx.doi.org/10.1143/JPSJ.55.3553"">http://dx.doi.org/10.1143/JPSJ.55.3553</a>"
ZrZn2	ZrZn2	laves	17			"<a href=""http://dx.doi.org/10.1143/JPSJ.55.3553"">http://dx.doi.org/10.1143/JPSJ.55.3553</a>"
Au4V	Au4V	other	44			"<a href=""http://dx.doi.org/10.1143/JPSJ.55.3553"">http://dx.doi.org/10.1143/JPSJ.55.3553</a>"
CrBe12	CrBe12	other	50			"<a href=""https://doi.org/10.1103/PhysRev.171.591"">https://doi.org/10.1103/PhysRev.171.591</a>"
MnCo2Si	MnCo2Si	heusler	985			"<a href=""http://dx.doi.org/10.1080/00107516908204800"">http://dx.doi.org/10.1080/00107516908204800</a>"
MnCo2Sn	MnCo2Sn	heusler	829			"<a href=""http://dx.doi.org/10.1080/00107516908204800"">http://dx.doi.org/10.1080/00107516908204800</a>"
MnCo2Ga	MnCo2Ga	heusler	694			"<a href=""http://dx.doi.org/10.1080/00107516908204801"">http://dx.doi.org/10.1080/00107516908204801</a>"
MnCo2Ge	MnCo2Ge	heusler	905			"<a href=""http://dx.doi.org/10.1080/00107516908204802"">http://dx.doi.org/10.1080/00107516908204802</a>"
MnCu2Al	MnCu2Al	heusler	600			"<a href=""http://dx.doi.org/10.1080/00107516908204800"">http://dx.doi.org/10.1080/00107516908204800</a>"
MnCu2In	MnCu2In	heusler	520			"<a href=""http://dx.doi.org/10.1080/00107516908204800"">http://dx.doi.org/10.1080/00107516908204800</a>"
MnCu2Sn	MnCu2Sn	heusler	530			"<a href=""http://dx.doi.org/10.1080/00107516908204800"">http://dx.doi.org/10.1080/00107516908204800</a>"
MnNi2Ga	MnNi2Ga	heusler	379			"<a href=""http://dx.doi.org/10.1080/00107516908204800"">http://dx.doi.org/10.1080/00107516908204800</a>"
MnNi2In	MnNi2In	heusler	323			"<a href=""http://dx.doi.org/10.1080/00107516908204800"">http://dx.doi.org/10.1080/00107516908204800</a>"
MnNi2Sb	MnNi2Sb	heusler	360			"<a href=""http://dx.doi.org/10.1080/00107516908204800"">http://dx.doi.org/10.1080/00107516908204800</a>"
MnPd2Sn	MnPd2Sn	heusler	189			"<a href=""http://dx.doi.org/10.1080/00107516908204801"">http://dx.doi.org/10.1080/00107516908204801</a>"
MnPd2Sb	MnPd2Sb	heusler	247			"<a href=""http://dx.doi.org/10.1080/00107516908204802"">http://dx.doi.org/10.1080/00107516908204802</a>"
TiCo2Sn	TiCo2Sn	heusler	371			"<a href=""http://dx.doi.org/10.1016/j.cap.2015.09.015"">http://dx.doi.org/10.1016/j.cap.2015.09.015</a>"
TiCo2Ge	TiCo2Ge	heusler	384			"<a href=""http://dx.doi.org/10.1016/j.cap.2015.09.015"">http://dx.doi.org/10.1016/j.cap.2015.09.015</a>"
FeCo2Si	FeCo2Si	heusler	1015			"<a href=""http://dx.doi.org/10.1063/1.4932526"">http://dx.doi.org/10.1063/1.4932526</a>"
FeCo2Ge	FeCo2Ge	heusler	980			"<a href=""http://dx.doi.org/10.1063/1.4932526"">http://dx.doi.org/10.1063/1.4932526</a>"
TiCo2Al	TiCo2Al	heusler	120			"<a href=""http://dx.doi.org/10.1063/1.4873020"">http://dx.doi.org/10.1063/1.4873020</a>"
VCo2Ga	VCo2Ga	heusler	358			"<a href=""http://dx.doi.org/10.1007/s10948-010-0933-3"">http://dx.doi.org/10.1007/s10948-010-0933-3</a>"
Fe3Si	Fe3Si	heusler	600			"<a href=""http://dx.doi.org/10.1143/JPSJ.18.797"">http://dx.doi.org/10.1143/JPSJ.18.797</a>"
Fe3Ge-heusler	Fe3Ge	heusler	740			"<a href=""http://dx.doi.org/10.1088/0305-4608/6/11/015"">http://dx.doi.org/10.1088/0305-4608/6/11/015</a>"
VCo2Sn	VCo2Sn	heusler	95			"<a href=""http://dx.doi.org/10.1103/PhysRevB.76.024414Co2CrGa.cif"">http://dx.doi.org/10.1103/PhysRevB.76.024414Co2CrGa.cif</a>"
CrCo2Ga	CrCo2Ga	heusler	495			"<a href=""http://dx.doi.org/10.1103/PhysRevB.76.024414Co2CrGa.cif"">http://dx.doi.org/10.1103/PhysRevB.76.024414Co2CrGa.cif</a>"
CrCo2Al	CrCo2Al	heusler	334			"<a href=""http://dx.doi.org/10.1103/PhysRevB.76.024414Co2CrGa.cif"">http://dx.doi.org/10.1103/PhysRevB.76.024414Co2CrGa.cif</a>"
MnCo2Al	MnCo2Al	heusler	697			"<a href=""http://dx.doi.org/10.1103/PhysRevB.76.024414Co2CrGa.cif"">http://dx.doi.org/10.1103/PhysRevB.76.024414Co2CrGa.cif</a>"
VMn2Al	VMn2Al	heusler	760			"<a href=""http://dx.doi.org/10.1103/PhysRevB.76.024414Co2CrGa.cif"">http://dx.doi.org/10.1103/PhysRevB.76.024414Co2CrGa.cif</a>"
#WMn2Sn	WMn2Sn	heusler	258			"<a href=""http://dx.doi.org/10.1103/PhysRevB.76.024414Co2CrGa.cif"">http://dx.doi.org/10.1103/PhysRevB.76.024414Co2CrGa.cif</a>"
ZrCo2Sn	ZrCo2Sn	heusler	448			"<a href=""http://dx.doi.org/10.1016/0304-8853(83)90079-3"">http://dx.doi.org/10.1016/0304-8853(83)90079-3</a>"
HfCo2Sn	HfCo2Sn	heusler	394			"<a href=""http://dx.doi.org/10.1016/0304-8853(83)90079-3"">http://dx.doi.org/10.1016/0304-8853(83)90079-3</a>"
NbCo2Sn	NbCo2Sn	heusler	105			"<a href=""http://dx.doi.org/10.1016/0304-8853(83)90079-3"">http://dx.doi.org/10.1016/0304-8853(83)90079-3</a>"
CrFe2Al	CrFe2Al	heusler	210			"<a href=""http://dx.doi.org/10.1016/0038-1098(76)91292-8"">http://dx.doi.org/10.1016/0038-1098(76)91292-8</a>"
Fe3Al	Fe3Al	heusler	400			"<a href=""http://dx.doi.org/10.1016/0038-1098(76)91292-8"">http://dx.doi.org/10.1016/0038-1098(76)91292-8</a>"
MnGeP2	MnGeP2	chalcopyrite	320			"<a href=""http://dx.doi.org/10.1016/j.ssc.2003.11.040"">http://dx.doi.org/10.1016/j.ssc.2003.11.040</a>"
MnGeAs2	MnGeAs2	chalcopyrite	340			"<a href=""http://dx.doi.org/10.1016/j.ssc.2003.11.040"">http://dx.doi.org/10.1016/j.ssc.2003.11.040</a>"
HgCr2S4	HgCr2S4	spinel	36			"<a href=""http://dx.doi.org/10.1109/TMAG.1969.1066666"">http://dx.doi.org/10.1109/TMAG.1969.1066666</a>"
HgCr2Se4	HgCr2Se4	spinel	106			"<a href=""http://dx.doi.org/10.1109/TMAG.1969.1066666"">http://dx.doi.org/10.1109/TMAG.1969.1066666</a>"
MnAs-h	MnAs	NiAs	318	-20	-30	"<a href=""http://dx.doi.org/10.1063/1.1419048"">http://dx.doi.org/10.1063/1.1419048</a>"
MnFePAs-AsRich	MnFeP0.333As0.667	Fe2P	325	-12	-33	"<a href=""http://dx.doi.org/10.1016/S0921-4526(02)01119-5"">http://dx.doi.org/10.1016/S0921-4526(02)01119-5</a>"
MnFePAs-Prich	MnFeP0.667As0.333	Fe2P	225	-11	-16	"<a href=""http://dx.doi.org/10.1016/S0921-4526(02)01119-5"">http://dx.doi.org/10.1016/S0921-4526(02)01119-5</a>"
MnFePSiGe	MnFeGe0.333P0.333Si0.333	Fe2P	275	-14	-35	"<a href=""http://dx.doi.org/10.1063/1.2170589"">http://dx.doi.org/10.1063/1.2170589</a>"
MnFePSi-PRich	MnFeP0.667Si0.333	Fe2P	250	-16		"<a href=""http://dx.doi.org/10.1016/j.jallcom.2012.11.127"">http://dx.doi.org/10.1016/j.jallcom.2012.11.127</a>"
Mn5Ge3	Mn5Ge3	Mn5Si3	300	-3.8	-9.4	"<a href=""http://dx.doi.org/10.1016/S0925-8388(01)01935-1"">http://dx.doi.org/10.1016/S0925-8388(01)01935-1</a>"
AlFe2B2-conv	AlFe2B2	layered	275	-4.5	-7.5	"<a href=""http://dx.doi.org/10.1021/ja404107p"">http://dx.doi.org/10.1021/ja404107p</a>"
LaMnO3	LaMnO3	oxide	300	-3	-7	"<a href=""http://dx.doi.org/10.1016/j.jmmm.2006.07.025"">http://dx.doi.org/10.1016/j.jmmm.2006.07.025</a>"
MnCoGe-o	MnCoGe	Ni2In-TiNiSi	235	-3	-6	"<a href=""http://dx.doi.org/10.1109/TMAG.2006.884516"">http://dx.doi.org/10.1109/TMAG.2006.884516</a>"
Mn5PB2	Mn5PB2	boride	302	-2.6	-5	"<a href=""http://dx.doi.org/10.1063/1.3518064"">http://dx.doi.org/10.1063/1.3518064</a>"
Y2Fe17	Y2Fe17	close packed	300	-2.5	-4.8	"<a href=""http://dx.doi.org/10.1016/j.cap.2016.05.013"">http://dx.doi.org/10.1016/j.cap.2016.05.013</a>"
Mn3GaC_FM-PM	Mn3GaC	antiperovskite	250	-2.5	-4.5	"<a href=""http://dx.doi.org/10.1088/1674-1056/22/6/067501"">http://dx.doi.org/10.1088/1674-1056/22/6/067501</a>"
MnP	MnP	NiAs	290	-1.8	-3.8	"<a href=""http://dx.doi.org/10.1063/1.3072022"">http://dx.doi.org/10.1063/1.3072022</a>"
MnSi	MnSi	B20	31	-2.2	-3.55	"<a href=""http://dx.doi.org/10.1063/1.2768005"">http://dx.doi.org/10.1063/1.2768005</a>"
Mn3Sn2	Mn3Sn2	NiAs	280	-1.9	-3.5	"<a href=""http://dx.doi.org/10.1063/1.3074093"">http://dx.doi.org/10.1063/1.3074093</a>"
Mn3AlC	Mn3AlC	antiperovskite	288	-1.6	-3.5	"<a href=""http://dx.doi.org/10.1088/1674-1056/22/6/067501"">http://dx.doi.org/10.1088/1674-1056/22/6/067501</a>"
Fe5Si3	Fe5Si3	Mn5Si3	373	-1	-2.8	"<a href=""http://dx.doi.org/10.1016/S0925-8388(01)01776-5"">http://dx.doi.org/10.1016/S0925-8388(01)01776-5</a>"
La2MnNiO6_cubic	La2MnNiO6	oxide	280	-1	-2.1	"<a href=""http://dx.doi.org/10.1063/1.4874943"">http://dx.doi.org/10.1063/1.4874943</a>"
SrRuO3	SrRuO3	oxide	160	-0.6	-2	"<a href=""http://dx.doi.org/10.1016/j.jallcom.2007.05.022"">http://dx.doi.org/10.1016/j.jallcom.2007.05.022</a>"
MnFeGe-h	MnFeGe	Ni2In-TiNiSi	235	-0.75	-1.6	"<a href=""http://dx.doi.org/10.1109/TMAG.2006.884516"">http://dx.doi.org/10.1109/TMAG.2006.884516</a>"
Fe3GeTe2	Fe3GeTe2	layered	225		-1.1	"<a href=""http://dx.doi.org/10.1021/acs.inorgchem.5b01260"">http://dx.doi.org/10.1021/acs.inorgchem.5b01260</a>"
CrO2	CrO2	oxide	396	-6.8		"<a href=""http://iopscience.iop.org/article/10.1088/0953-8984/18/44/L01/meta"">http://iopscience.iop.org/article/10.1088/0953-8984/18/44/L01/meta</a>"
Fe3C	Fe3C	intercalation	475	-3.1		"<a href=""http://dx.doi.org/10.1016/j.jmmm.2016.02.080"">http://dx.doi.org/10.1016/j.jmmm.2016.02.080</a>"
MnNi2Ga_FM-PM	MnNi2Ga	heusler	329	-1.5		"<a href=""http://dx.doi.org/10.1016/S0921-4526(02)01119-5"">http://dx.doi.org/10.1016/S0921-4526(02)01119-5</a>"
