,material_name,formula,class,âˆ’Î”Sm(H = 2T) (J kgâÅ»Â_ KâÅ»Â_),âˆ’Î”Sm(H = 5T) (J kgâÅ»Â_ KâÅ»Â_),Curie temperature (K),energy of spin-polarization (eV/atom),"magnetic deformation (Î£m), %",magnetic volume change (%),largest local moment (ÂµB),element carrying largest moment,theoretical density (g/cmÂ_),gravimetric moment (emu/g),volumetric moment (emu/cmÂ_),moment per atom (ÂµB/atom),source (experimental),cid
54,Fe4N,Fe4N,antiperovskite,,,769,0.2583835,1.930573948,10.19745265,2.98,Fe,7.266783565,232.0157875,1686.008511,1.97233526,"<a href=""https://books.google.com/books/about/Magnetism_and_Magnetic_Materials.html?id=hKU_kgEACAAJ"">https://books.google.com/books/about/Magnetism_and_Magnetic_Materials.html?id=hKU_kgEACAAJ</a>",54
55,Fe16N2,Fe16N2,close packed,,,810,0.041885357,2.169181936,11.4747024,2.791,Fe,7.733687091,213.3682951,1650.123629,1.955893867,"<a href=""https://books.google.com/books/about/Magnetism_and_Magnetic_Materials.html?id=hKU_kgEACAAJ"">https://books.google.com/books/about/Magnetism_and_Magnetic_Materials.html?id=hKU_kgEACAAJ</a>",55
56,MnBi,MnBi,Ni2In-NiTiSi,,,633,0.07734434,0.099492097,0.443911556,2.909,Mn,11.14926651,60.39136134,673.3193825,1.4268927,"<a href=""https://books.google.com/books/about/Magnetism_and_Magnetic_Materials.html?id=hKU_kgEACAAJ"">https://books.google.com/books/about/Magnetism_and_Magnetic_Materials.html?id=hKU_kgEACAAJ</a>",56
57,Fe5SiB2,Fe5SiB2,boride,,,784,0.072130812,2.135320307,4.997815279,2.129,Fe,7.047779333,147.1564756,1037.126368,1.083360506,"<a href=""http://dx.doi.org/10.1051/jphyscol:19766122"">http://dx.doi.org/10.1051/jphyscol:19766122</a>",57
58,Fe5PB2,Fe5PB2,boride,,,640,0.072938698,0.974624771,4.938308703,2.048,Fe,7.256518122,143.1345115,1038.658176,1.063003763,"<a href=""http://dx.doi.org/10.1063/1.4934496"">http://dx.doi.org/10.1063/1.4934496</a>",58
59,Fe4CoPB2,Fe4CoPB2,boride,,,515,0.05179552,0.800992839,3.509629619,1.574,Fe,7.455951349,108.5600912,809.4187581,0.813736606,"<a href=""http://dx.doi.org/10.1063/1.4934496"">http://dx.doi.org/10.1063/1.4934496</a>",59
60,Fe4MnPB2,Fe4MnPB2,boride,,,650,0.082593178,1.208727084,4.232972252,2.153,Mn,7.186454202,140.6560714,1010.818415,1.041742056,"<a href=""http://dx.doi.org/10.1063/1.4934496"">http://dx.doi.org/10.1063/1.4934496</a>",60
61,Fe4CoSiB2,Fe4CoSiB2,boride,,,675,0.049894574,2.030512967,3.756803265,1.647,Fe,7.231085141,117.8529439,852.2046719,0.875774775,"<a href=""http://dx.doi.org/10.1063/1.4934496"">http://dx.doi.org/10.1063/1.4934496</a>",61
62,Fe4MnSiB2,Fe4MnSiB2,boride,,,770,0.07596287,1.785028454,4.427508278,2.144,Mn,6.995453926,141.5072158,989.907208,1.038898281,"<a href=""http://dx.doi.org/10.1063/1.4934496"">http://dx.doi.org/10.1063/1.4934496</a>",62
63,Mn5SiB2,Mn5SiB2,boride,,,628,0.067741402,0.940735425,3.641235154,1.687,Mn,6.830105807,131.5111015,898.2347378,0.954831525,"<a href=""http://dx.doi.org/10.1051/jphyscol:19766122"">http://dx.doi.org/10.1051/jphyscol:19766122</a>",63
64,BaRuO3,BaRuO3,perovskite,,,60,0.019029838,0.344964597,1.797833034,1.532,Ru,7.107334171,43.30400571,307.7760395,0.4441203,"<a href=""http://dx.doi.org/10.1073/pnas.071092810"">http://dx.doi.org/10.1073/pnas.071092810</a>",64
65,Sr3Ru2O7,Sr3Ru2O7,ruddlesden-popper,,,104,0.006423641,1.593139145,1.885871887,1.408,Ru,5.902650193,39.74630479,234.6085337,0.342188167,"<a href=""http://dx.doi.org/10.1103/PhysRevB.55.R672"">http://dx.doi.org/10.1103/PhysRevB.55.R672</a>",65
66,Mn3InC,Mn3InC,antiperovskite,,,272,0.132372064,0.930886887,4.875817839,2.515,Mn,7.889595681,115.9773917,915.0147287,1.21124296,"<a href=""http://dx.doi.org/10.1016/S0022-4596(05)80281-6"">http://dx.doi.org/10.1016/S0022-4596(05)80281-6</a>",66
67,Fe3GaC,Fe3GaC,antiperovskite,,,510,0.038082638,0.341856789,1.781588621,1.245,Fe,7.804239448,70.07610903,546.8907344,0.62552482,"<a href=""http://dx.doi.org/10.1088/0305-4608/6/3/019"">http://dx.doi.org/10.1088/0305-4608/6/3/019</a>",67
68,Fe3ZnC,Fe3ZnC,antiperovskite,,,368,0.105769864,0.456270724,2.38019593,1.676,Fe,7.603924025,93.83613663,713.5228538,0.82305532,"<a href=""http://dx.doi.org/10.1088/0305-4608/6/3/019"">http://dx.doi.org/10.1088/0305-4608/6/3/019</a>",68
69,Mn3ZnC,Mn3ZnC,antiperovskite,,,353,0.141967048,1.436290986,7.555263031,2.741,Mn,6.938663472,161.7040266,1122.009823,1.40258164,"<a href=""http://dx.doi.org/10.1088/0305-4608/6/3/019"">http://dx.doi.org/10.1088/0305-4608/6/3/019</a>",69
70,Mn3GeC,Mn3GeC,antiperovskite,,,330,0.082474906,0.21823142,1.13610415,1.219,Mn,7.613341662,65.11900892,495.7732636,0.581733,"<a href=""http://dx.doi.org/10.1088/0305-4608/6/3/019"">http://dx.doi.org/10.1088/0305-4608/6/3/019</a>",70
71,Fe3RhN,Fe3RhN,antiperovskite,,,505,0.169780188,1.564261644,8.237278318,2.64,Fe,8.393517861,168.8557935,1417.294119,1.71998416,"<a href=""http://dx.doi.org/10.1002/anie.200502579"">http://dx.doi.org/10.1002/anie.200502579</a>",71
72,CrMn2B4,CrMn2B4,boride,,,440,0.044146206,1.105010269,1.915924801,1.754,Mn,6.153841593,90.90175288,559.3949878,0.476925771,"<a href=""http://dx.doi.org/10.1143/JPSJ.24.28"">http://dx.doi.org/10.1143/JPSJ.24.28</a>",72
73,MoMn2B4,MoMn2B4,boride,,,590,0.064710256,1.011095731,1.535333181,1.829,Mn,6.958843623,78.65175926,547.3252934,0.5010617,"<a href=""http://dx.doi.org/10.1143/JPSJ.24.28"">http://dx.doi.org/10.1143/JPSJ.24.28</a>",73
74,WMn2B4,WMn2B4,boride,,,560,0.061595611,1.070565753,1.261876362,1.83,Mn,9.3696082,58.36390967,546.8469666,0.503038829,"<a href=""http://dx.doi.org/10.1143/JPSJ.24.28"">http://dx.doi.org/10.1143/JPSJ.24.28</a>",74
75,TaMn2B4,TaMn2B4,boride,,,780,0.080168656,1.31733602,2.341636874,2.05,Mn,8.989092072,66.73469961,599.8843592,0.570249929,"<a href=""http://dx.doi.org/10.1143/JPSJ.24.28"">http://dx.doi.org/10.1143/JPSJ.24.28</a>",75
76,CrNiAs,CrNiAs,Fe2P,,,182,0.116389497,2.306193502,7.351867609,2.96,Cr,7.635575682,90.00328672,687.2269074,0.997052167,"<a href=""http://dx.doi.org/10.4028/www.scientific.net/MSF.443-444.379"">http://dx.doi.org/10.4028/www.scientific.net/MSF.443-444.379</a>",76
77,CrNiP,CrNiP,Co2P,,,140,0.047052509,1.838990797,5.319617716,2.478,Cr,6.69622639,104.2811384,698.2901111,0.881695625,"<a href=""http://dx.doi.org/10.1016/0022-4596(72)90139-9"">http://dx.doi.org/10.1016/0022-4596(72)90139-9</a>",77
78,FeCoP,FeCoP,Co2P,,,425,0.087265077,2.162050301,3.283321396,1.782,Fe,7.45475319,77.98096963,581.3288821,0.678357642,"<a href=""http://dx.doi.org/10.1016/0022-4596(72)90139-9"">http://dx.doi.org/10.1016/0022-4596(72)90139-9</a>",78
79,FeNiP,FeNiP,Fe2P,,,95,0.054642441,0.679525913,1.459374079,1.382,Fe,7.368576204,45.57455115,335.8195531,0.395801444,"<a href=""http://dx.doi.org/10.1016/0022-4596(72)90139-9"">http://dx.doi.org/10.1016/0022-4596(72)90139-9</a>",79
80,MnCoAs,MnCoAs,Co2P,,,350,0.201244976,4.689485515,7.970351774,3.043,Mn,8.15155929,91.6708338,747.2602369,1.032933058,"<a href=""http://dx.doi.org/10.1016/0022-4596(72)90139-9"">http://dx.doi.org/10.1016/0022-4596(72)90139-9</a>",80
81,FeCoAs,FeCoAs,Fe2P,,,300,0.136011476,0.6793955,2.950824819,2.13,Fe,8.512219822,64.53092058,549.3013813,0.730617889,"<a href=""http://dx.doi.org/10.1016/0022-4596(72)90139-9"">http://dx.doi.org/10.1016/0022-4596(72)90139-9</a>",81
82,MnCoSb,MnCoSb,halfÃ¢Â€Â“heusler,,,478,0.381725527,0.999343769,5.237427516,3.188,Mn,7.976029416,70.93846089,565.8072508,0.997631433,"<a href=""http://dx.doi.org/10.1070/PU1994v037n07ABEH000033"">http://dx.doi.org/10.1070/PU1994v037n07ABEH000033</a>",82
83,MnPtSb,MnPtSb,halfÃ¢Â€Â“heusler,,,572,0.203111937,0.013487731,-0.070076119,3.638,Mn,11.20329904,58.15342342,651.5101929,1.2903639,"<a href=""http://dx.doi.org/10.1070/PU1994v037n07ABEH000033"">http://dx.doi.org/10.1070/PU1994v037n07ABEH000033</a>",83
