,material_name,formula,class,−ΔSm(H = 2T) (J kg⁻¹ K⁻¹),−ΔSm(H = 5T) (J kg⁻¹ K⁻¹),Curie temperature (K),source (experimental),−ΔSm(H = 2T) (J cm⁻³ K⁻¹),−ΔSm(H = 5T) (J cm⁻³ K⁻¹),energy of spin-polarization (eV/atom),"magnetic deformation (Σm), %",largest local moment (µB),gravimetric moment (emu/g),volumetric moment (emu/cm³),moment per atom (µB/atom),element carrying largest moment,average magnetic moment (µB),spin polarization at fermi level (%),nonmag. DOS at fermi level (states/eV/atom),nonmag. DOS at fermi level (states/eV/mag. ion),density (g/cm³),spacegroup number,spacegroup symbol,closest magnetic ion spacing (Å),number of unique magnetic sites,natoms,cid
41,Fe3P,Fe3P,close packed,,,716.0,"<a href=""http://dx.doi.org/10.1063/1.1709566"">http://dx.doi.org/10.1063/1.1709566</a>",,,0.1257480450000008,1.590311862208776,2.223,157.3238082583982,1169.7388419007311,1.397947825,Fe,1.8639304333333333,-27.675638126856544,1.5016148956699888,2.002153194226652,7.435230909103604,82.0,I-4,2.3762627270579015,3,16.0,41
42,Fe3N,Fe3N,close packed,,,550.0,"<a href=""http://dx.doi.org/10.1063/1.1709566"">http://dx.doi.org/10.1063/1.1709566</a>",,,0.1560121062499995,1.882990736403735,2.127,187.83232332709235,1405.3778363100846,1.5263831375,Fe,2.035177516666667,-49.45262972122671,1.6836989037298389,2.244931871639785,7.482087275589682,182.0,P6_322,2.6328269103330646,1,8.0,42
43,Fe2CoN,Fe2CoN,close packed,,,488.0,"<a href=""http://dx.doi.org/10.1021/cm3031297"">http://dx.doi.org/10.1021/cm3031297</a>",,,0.12342404624999936,1.8535470404348924,2.182,155.39064979563574,1193.6951968551527,1.2842327375,Fe,1.7123103166666667,-60.83017041990261,1.836692690624994,2.448923587499992,7.681898482470201,5.0,C2,2.578684096609648,3,8.0,43
44,Fe2NiN,Fe2NiN,close packed,,,234.0,"<a href=""http://dx.doi.org/10.1021/cm3031297"">http://dx.doi.org/10.1021/cm3031297</a>",,,0.12586242250000002,1.3881835333233818,2.07,126.33671142051553,965.4717098443906,1.042759125,Fe,1.6684145999999997,-56.19003398503379,1.8161986753846107,2.905917880615377,7.642051933984486,5.0,C2,2.5706554941104622,3,8.0,44
45,Fe3Ge-hex,Fe3Ge,close packed,,,640.0,"<a href=""http://dx.doi.org/10.1088/0305-4608/6/11/015"">http://dx.doi.org/10.1088/0305-4608/6/11/015</a>",,,0.21945654625,1.7049250151162307,2.201,147.84756522847923,1236.7976136749967,1.5894936875,Fe,2.119324916666667,-30.80258890350473,4.087292278806912,5.449723038409217,8.365356654765916,194.0,P6_3/mmc,2.494765442961284,1,8.0,45
46,Co2B,Co2B,boride,,,429.0,"<a href=""http://dx.doi.org/10.1007/BF00817215"">http://dx.doi.org/10.1007/BF00817215</a>",,,0.048663178333332745,0.8330163903327129,1.045,83.08167207541278,683.6834041582063,0.6380622333333333,Co,0.95709335,-52.985662986124524,2.831368518294569,4.247052777441853,8.229052052992271,140.0,I4/mcm,2.34724907636966,1,6.0,46
47,Co3B,Co3B,boride,,,747.0,"<a href=""http://dx.doi.org/10.1007/BF00817215"">http://dx.doi.org/10.1007/BF00817215</a>",,,0.08364189562499913,0.6135866736668572,1.255,105.62928899973849,881.5620973807324,0.88707129375,Co,1.182761725,-59.530174151377445,2.018329508828133,2.691106011770844,8.345811145078473,62.0,Pnma,2.4292235090325653,2,16.0,47
48,CoS2,CoS2,pyrite,,,130.0,"<a href=""http://dx.doi.org/10.1063/1.1656326"">http://dx.doi.org/10.1063/1.1656326</a>",,,0.014476973333332902,0.35671206014108653,0.909,45.16091269916242,222.38978928145067,0.33170075833333335,Co,0.995102275,78.14009474298923,1.5434290493023275,4.630287147906983,4.9243865101418836,205.0,Pa-3,3.8860947074909444,1,12.0,48
49,CrNb3S6,CrNb3S6,layered,,,160.0,"<a href=""http://dx.doi.org/10.1016/0022-4596(70)90001-0"">http://dx.doi.org/10.1016/0022-4596(70)90001-0</a>",,,0.06277450550000055,0.9204958561453671,2.836,32.087699775288044,157.35675824681508,0.30054152,Cr,3.0054152,92.37118223916806,0.6840829914230767,6.840829914230767,4.9039588175155355,182.0,P6_322,5.802598750000016,1,20.0,49
50,CrTa3S6,CrTa3S6,layered,,,170.0,"<a href=""http://dx.doi.org/10.1016/0022-4596(70)90001-0"">http://dx.doi.org/10.1016/0022-4596(70)90001-0</a>",,,0.0444199784999995,0.029903124588226342,2.676,21.65466998077334,166.8430505554318,0.305231875,Cr,3.05231875,93.95110241154573,0.7223190828701918,7.2231908287019175,7.704714535181914,182.0,P6_322,5.739236867522912,1,20.0,50
51,MnNb3S6,MnNb3S6,layered,,,48.0,"<a href=""http://dx.doi.org/10.1016/0022-4596(70)90001-0"">http://dx.doi.org/10.1016/0022-4596(70)90001-0</a>",,,0.04736922499999992,2.2512793341731987,3.866,44.95166804190769,215.01115244633462,0.42339656999999997,Mn,4.2339657,72.64378486447463,0.01947310915789465,0.1947310915789465,4.783162935041328,182.0,P6_322,5.835606466218969,1,20.0,51
52,MnTa3S6,MnTa3S6,layered,,,80.0,"<a href=""http://dx.doi.org/10.1016/0022-4596(70)90001-0"">http://dx.doi.org/10.1016/0022-4596(70)90001-0</a>",,,0.005019688000000144,0.6178519507775715,1.755,12.566283281841464,97.7143427891297,0.1777891,Mn,1.777891,-35.13980394853526,0.012660590021928403,0.12660590021928403,7.775914373212398,182.0,P6_322,5.729650709290846,1,20.0,52
53,CrNb3Se6,CrNb3Se6,layered,,,105.0,"<a href=""http://dx.doi.org/10.1016/0022-4596(70)90001-0"">http://dx.doi.org/10.1016/0022-4596(70)90001-0</a>",,,0.07513119050000086,0.9180606359224599,3.004,21.104554353655438,138.7251911833973,0.303994475,Cr,3.03994475,92.45440046285721,0.7261895527766983,7.261895527766983,6.573234803196366,182.0,P6_322,6.057750710005833,1,20.0,53
54,CrTa3Se6,CrTa3Se6,layered,,,120.0,"<a href=""http://dx.doi.org/10.1016/0022-4596(70)90001-0"">http://dx.doi.org/10.1016/0022-4596(70)90001-0</a>",,,0.07381283300000092,1.0790995637076122,3.079,15.960014464115439,140.06085994599113,0.305369155,Cr,3.05369155,91.56291362350042,0.6942887156078431,6.942887156078431,8.775735151174489,182.0,P6_322,6.016991017159874,1,20.0,54
55,MnNb4S8,MnNb4S8,layered,,,100.0,"<a href=""http://dx.doi.org/10.1143/JPSJ.55.347"">http://dx.doi.org/10.1143/JPSJ.55.347</a>",,,0.044997029230769994,1.5305521274571123,3.724,29.68920646700086,140.07061042148615,0.2793224846153846,Mn,3.6311923,50.27204520577623,0.7153000106612688,9.298900138596494,4.717896740594016,194.0,P6_3/mmc,6.152947839999996,1,26.0,55
56,MnTa4S8,MnTa4S8,layered,,,75.0,"<a href=""http://dx.doi.org/10.1143/JPSJ.55.347"">http://dx.doi.org/10.1143/JPSJ.55.347</a>",,,0.046605923076923586,1.8412055902766982,3.885,21.725757854339207,154.91537137132045,0.3097800615384615,Mn,4.0271408,29.432335091181734,0.5276604529832767,6.859585888782597,7.13049332547816,194.0,P6_3/mmc,6.233459734999999,1,26.0,56
